index,phase,start_ts,end_ts,dur_us
179,LoadMusic(),964868786501,964868786513,12
180,LoadMusic(),964868796856,964868796897,41
181,LoadMusic(),964868806473,964868806483,10
182,LoadMusic(),964868816424,964868816438,14
183,LoadMusic(),964868826519,964868826539,20
184,LoadMusic(),964868836101,964868836105,4
185,LoadMusic(),964868846263,964868846271,8
186,LoadMusic(),964868856364,964868856377,13
187,LoadMusic(),964868866578,964868866598,20
188,LoadMusic(),964868876657,964868876676,19
189,LoadMusic(),964868886609,964868886628,19
190,LoadMusic(),964868896617,964868896637,20
191,LoadMusic(),964868906540,964868906560,20
192,LoadMusic(),964868916672,964868916691,19
193,LoadMusic(),964868926496,964868926510,14
194,LoadMusic(),964868936579,964868936599,20
195,LoadMusic(),964868946687,964868946706,19
196,LoadMusic(),964868956655,964868956674,19
197,LoadMusic(),964868966584,964868966603,19
198,LoadMusic(),964868976611,964868976630,19
199,LoadMusic(),964868986482,964868986501,19
200,LoadMusic(),964868996384,964868996394,10
201,LoadMusic(),964869006345,964869006360,15
202,LoadMusic(),964869016438,964869016451,13
203,LoadMusic(),964869026730,964869026749,19
204,LoadMusic(),964869036715,964869036734,19
205,LoadMusic(),964869046647,964869046667,20
206,LoadMusic(),964869056638,964869056658,20
207,LoadMusic(),964869066641,964869066660,19
208,LoadMusic(),964869076640,964869076659,19
209,LoadMusic(),964869086338,964869086349,11
210,LoadMusic(),964869096119,964869096126,7
211,LoadMusic(),964869106055,964869106063,8
212,LoadMusic(),964869115971,964869115976,5
213,LoadMusic(),964869125952,964869125956,4
214,LoadMusic(),964869135933,964869135936,3
215,LoadMusic(),964869146015,964869146019,4
216,LoadMusic(),964869156009,964869156011,2
217,LoadMusic(),964869165934,964869165936,2
218,LoadMusic(),964869176060,964869176065,5
219,LoadMusic(),964869186108,964869186115,7
220,LoadMusic(),964869196424,964869196433,9
221,LoadMusic(),964869206299,964869206310,11
222,LoadMusic(),964869216675,964869216706,31
223,LoadMusic(),964869226346,964869226359,13
224,LoadMusic(),964869236476,964869236492,16
225,LoadMusic(),964869245980,964869245983,3
