index,phase,start_ts,end_ts,dur_us
219,LoadMusic(),694839097314,694839097325,11
220,LoadMusic(),694839107354,694839107370,16
221,LoadMusic(),694839117300,694839117316,16
222,LoadMusic(),694839127318,694839127334,16
223,LoadMusic(),694839137533,694839137549,16
224,LoadMusic(),694839147445,694839147461,16
225,LoadMusic(),694839157330,694839157346,16
226,LoadMusic(),694839167613,694839167628,15
227,LoadMusic(),694839177512,694839177528,16
228,LoadMusic(),694839187287,694839187303,16
229,LoadMusic(),694839197480,694839197496,16
230,LoadMusic(),694839207356,694839207369,13
231,LoadMusic(),694839217390,694839217406,16
232,LoadMusic(),694839227383,694839227399,16
233,LoadMusic(),694839237409,694839237422,13
234,LoadMusic(),694839247339,694839247352,13
235,LoadMusic(),694839257343,694839257358,15
236,LoadMusic(),694839267287,694839267302,15
237,LoadMusic(),694839277403,694839277419,16
238,LoadMusic(),694839287531,694839287547,16
239,LoadMusic(),694839297297,694839297313,16
240,LoadMusic(),694839307196,694839307202,6
241,LoadMusic(),694839317403,694839317415,12
242,LoadMusic(),694839327686,694839327702,16
243,LoadMusic(),694839337209,694839337221,12
244,LoadMusic(),694839347074,694839347082,8
245,LoadMusic(),694839357256,694839357267,11
246,LoadMusic(),694839366890,694839366892,2
247,LoadMusic(),694839377085,694839377091,6
248,LoadMusic(),694839387145,694839387155,10
249,LoadMusic(),694839397244,694839397255,11
250,LoadMusic(),694839407241,694839407251,10
251,LoadMusic(),694839417283,694839417299,16
252,LoadMusic(),694839427193,694839427205,12
253,LoadMusic(),694839436940,694839436948,8
254,LoadMusic(),694839446930,694839446932,2
255,LoadMusic(),694839457075,694839457081,6
256,LoadMusic(),694839467070,694839467081,11
257,LoadMusic(),694839477268,694839477277,9
258,LoadMusic(),694839487489,694839487505,16
259,LoadMusic(),694839497212,694839497226,14
260,LoadMusic(),694839507234,694839507245,11
261,LoadMusic(),694839516974,694839516983,9
262,LoadMusic(),694839527093,694839527098,5
263,LoadMusic(),694839537207,694839537213,6
264,LoadMusic(),694839547249,694839547265,16
265,LoadMusic(),694839557057,694839557075,18
266,LoadMusic(),694839567105,694839567112,7
267,LoadMusic(),694839577151,694839577157,6
268,LoadMusic(),694839587262,694839587272,10
269,LoadMusic(),694839597267,694839597275,8
270,LoadMusic(),694839607271,694839607277,6
271,LoadMusic(),694839617236,694839617252,16
272,LoadMusic(),694839627386,694839627403,17
273,LoadMusic(),694839637283,694839637295,12
274,LoadMusic(),694839647287,694839647299,12
275,LoadMusic(),694839657278,694839657301,23
276,LoadMusic(),694839667246,694839667258,12
277,LoadMusic(),694839677380,694839677396,16
278,LoadMusic(),694839687210,694839687220,10
279,LoadMusic(),694839697402,694839697418,16
280,LoadMusic(),694839707322,694839707338,16
281,LoadMusic(),694839717290,694839717306,16
282,LoadMusic(),694839727278,694839727290,12
283,LoadMusic(),694839737342,694839737358,16
284,LoadMusic(),694839747398,694839747414,16
285,LoadMusic(),694839757029,694839757035,6
286,LoadMusic(),694839767164,694839767170,6
287,LoadMusic(),694839777170,694839777174,4
288,LoadMusic(),694839787373,694839787389,16
289,LoadMusic(),694839797356,694839797372,16
290,LoadMusic(),694839807378,694839807394,16
291,LoadMusic(),694839817326,694839817342,16
292,LoadMusic(),694839827292,694839827386,94
293,LoadMusic(),694839837451,694839837467,16
294,LoadMusic(),694839847279,694839847295,16
295,LoadMusic(),694839857579,694839857595,16
296,LoadMusic(),694839867373,694839867388,15
297,LoadMusic(),694839877233,694839877245,12
298,LoadMusic(),694839887146,694839887154,8
299,LoadMusic(),694839897162,694839897172,10
300,LoadMusic(),694839907214,694839907225,11
301,LoadMusic(),694839917313,694839917328,15
302,LoadMusic(),694839927385,694839927401,16
303,LoadMusic(),694839937390,694839937406,16
304,LoadMusic(),694839947346,694839947362,16
305,LoadMusic(),694839957350,694839957366,16
306,LoadMusic(),694839967502,694839967518,16
307,LoadMusic(),694839977401,694839977416,15
308,LoadMusic(),694839987171,694839987180,9
309,LoadMusic(),694839996961,694839996970,9
310,LoadMusic(),694840006870,694840006874,4
311,LoadMusic(),694840016954,694840016957,3
312,LoadMusic(),694840026890,694840026894,4
313,LoadMusic(),694840036946,694840036948,2
314,LoadMusic(),694840046950,694840046953,3
315,LoadMusic(),694840056987,694840056992,5
316,LoadMusic(),694840067092,694840067098,6
317,LoadMusic(),694840077147,694840077154,7
318,LoadMusic(),694840087404,694840087417,13
319,LoadMusic(),694840097337,694840097348,11
320,LoadMusic(),694840107456,694840107467,11
321,LoadMusic(),694840117340,694840117352,12
322,LoadMusic(),694840127385,694840127401,16
323,LoadMusic(),694840137276,694840137292,16
324,LoadMusic(),694840147375,694840147391,16
325,LoadMusic(),694840157396,694840157412,16
326,LoadMusic(),694840167684,694840167700,16
327,LoadMusic(),694840177328,694840177344,16
328,LoadMusic(),694840187411,694840187427,16
329,LoadMusic(),694840197401,694840197417,16
330,LoadMusic(),694840207396,694840207411,15
331,LoadMusic(),694840217531,694840217548,17
332,LoadMusic(),694840227291,694840227308,17
